sampleid	origin	Site	Condition	Temperature_C	Time_days	Time_months	Stage	Generation
1545s19-t7B	1545B-19F3	1545	CH4	37	205	7	Microcosm	0
1545s19-t7C	1545B-19F3	1545	CO2	37	205	7	Microcosm	0
1545s19-t7D	1545B-19F3	1545	ACETATE	37	205	7	Microcosm	0
1545s19-t7E	1545B-19F3	1545	METHYL	37	205	7	Microcosm	0
1545s19-t7F	1545B-19F3	1545	METHOXY	37	205	7	Microcosm	0
1545s19-t7G	1545B-19F3	1545	ALKANES	37	205	7	Microcosm	0
1545s19-t7H	1545B-19F3	1545	LIGNIN	37	205	7	Microcosm	0
1545s51-t7A	1545B-51F3	1545	CONTROL	70	205	7	Microcosm	0
1545s51-t7B	1545B-51F3	1545	CH4	70	205	7	Microcosm	0
1545s51-t7C	1545B-51F3	1545	CO2	70	205	7	Microcosm	0
1545s51-t7D	1545B-51F3	1545	ACETATE	70	205	7	Microcosm	0
1545s51-t7E	1545B-51F3	1545	METHYL	70	205	7	Microcosm	0
1545s51-t7F	1545B-51F3	1545	METHOXY	70	205	7	Microcosm	0
1545s51-t7G	1545B-51F3	1545	ALKANES	70	205	7	Microcosm	0
1545s51-t7H	1545B-51F3	1545	LIGNIN	70	205	7	Microcosm	0
1547s19-t7A	1547B-19F2	1547	CONTROL	70	205	7	Microcosm	0
1547s19-t7B	1547B-19F2	1547	CH4	70	205	7	Microcosm	0
1547s19-t7C	1547B-19F2	1547	CO2	70	205	7	Microcosm	0
1547s19-t7D	1547B-19F2	1547	ACETATE	70	205	7	Microcosm	0
1547s19-t7E	1547B-19F2	1547	METHYL	70	205	7	Microcosm	0
1547s19-t7F	1547B-19F2	1547	METHOXY	70	205	7	Microcosm	0
1547s19-t7G	1547B-19F2	1547	ALKANES	70	205	7	Microcosm	0
1547s19-t7H	1547B-19F2	1547	LIGNIN	70	205	7	Microcosm	0
1547sD8-t7A	1547D-8R0	1546	CONTROL	79	205	7	Microcosm	0
1547sD8-t7B	1547D-8R1	1547	CH4	80	205	7	Microcosm	0
1547sD8-t7C	1547D-8R1	1547	CO2	80	205	7	Microcosm	0
1547sD8-t7D	1547D-8R1	1547	ACETATE	80	205	7	Microcosm	0
1547sD8-t7E	1547D-8R1	1547	METHYL	80	205	7	Microcosm	0
1547sD8-t7F	1547D-8R1	1547	METHOXY	80	205	7	Microcosm	0
1547sD8-t7G	1547D-8R1	1547	ALKANES	80	205	7	Microcosm	0
1547sD8-t7H	1547D-8R1	1547	LIGNIN	80	205	7	Microcosm	0
